
央视频道,#genre#
CCTV-1综合,http://ott.js.chinamobile.com/TVOD/3/224/3221228049/index.m3u8
CCTV-2财经,http://ott.js.chinamobile.com/TVOD/3/224/3221228094/index.m3u8
CCTV-3综艺,http://ott.js.chinamobile.com/TVOD/3/224/3221228126/index.m3u8
CCTV-4中文国际,http://ott.js.chinamobile.com/TVOD/3/224/3221228091/index.m3u8
CCTV-4欧洲国际,http://117.148.129.68/PLTV/88888888/224/3221231615/index.m3u8
CCTV-4美洲国际,http://117.148.179.160/PLTV/88888888/224/3221231654/index.m3u8
CCTV-5体育,http://ott.js.chinamobile.com/TVOD/3/224/3221228082/index.m3u8
CCTV-5+体育赛事,http://ott.js.chinamobile.com/TVOD/3/224/3221228076/index.m3u8
CCTV-6电影,http://ott.js.chinamobile.com/TVOD/3/224/3221228123/index.m3u8
CCTV-7国防军事,http://117.148.179.160/PLTV/88888888/224/3221231633/index.m3u8
CCTV-8电视剧,http://ott.js.chinamobile.com/TVOD/3/224/3221228079/index.m3u8
CCTV-9纪录,http://ott.js.chinamobile.com/TVOD/3/224/3221227614/index.m3u8
CCTV-10科教,http://ott.js.chinamobile.com/TVOD/3/224/3221228078/index.m3u8
CCTV-11戏曲,http://39.135.138.59:18890/PLTV/88888910/224/3221225628/index.m3u8
CCTV-12社会与法,http://ott.js.chinamobile.com/TVOD/3/224/3221227655/index.m3u8
CCTV-13新闻,http://ott.js.chinamobile.com/TVOD/3/224/3221228121/index.m3u8
CCTV-14少儿,http://39.134.115.163:8080/PLTV/88888910/224/3221225639/index.m3u8
CCTV-14少儿,https://cctvtxyh5ca.liveplay.myqcloud.com/live/cctvchild_2/index.m3u8
CCTV-15音乐,http://ott.js.chinamobile.com/TVOD/3/224/3221227538/index.m3u8
CCTV-16奥林匹克,http://ott.js.chinamobile.com/TVOD/3/224/3221228127/index.m3u8
CCTV-17农业农村,http://ott.js.chinamobile.com/TVOD/3/224/3221227726/index.m3u8



CCTV-第一剧场,http://stream.slave.jxtvnet.tv:14311/playurl?playtype=live&protocol=http&accesstoken=R61974758U30927004K7735947FI9BE73ABPBM356FAF3V0Z57EA5W16B8DF73913B73EF&programid=4200000569&playtoken=ABCDEFGH&auth=noC
CCTV-风云剧场,http://stream.slave.jxtvnet.tv:14311/playurl?playtype=live&protocol=http&accesstoken=R61974758U30927004K7735947FI9BE73ABPBM356FAF3V0Z57EA5W16B8DF73913B73EF&programid=4200000570&playtoken=ABCDEFGH&auth=noC
CCTV-怀旧剧场,http://stream.slave.jxtvnet.tv:14311/playurl?playtype=live&protocol=http&accesstoken=R61974758U30927004K7735947FI9BE73ABPBM356FAF3V0Z57EA5W16B8DF73913B73EF&programid=4200000571&playtoken=ABCDEFGH&auth=noC
CCTV-兵器科技,http://stream.slave.jxtvnet.tv:14311/playurl?playtype=live&protocol=http&accesstoken=R61974758U30927004K7735947FI9BE73ABPBM356FAF3V0Z57EA5W16B8DF73913B73EF&programid=4200000572&playtoken=ABCDEFGH&auth=noC
CCTV-央视文化精品,http://stream.slave.jxtvnet.tv:14311/playurl?playtype=live&protocol=http&accesstoken=R61974758U30927004K7735947FI9BE73ABPBM356FAF3V0Z57EA5W16B8DF73913B73EF&programid=4200000573&playtoken=ABCDEFGH&auth=noC
CCTV-高尔夫·网球,http://stream.slave.jxtvnet.tv:14311/playurl?playtype=live&protocol=http&accesstoken=R61974758U30927004K7735947FI9BE73ABPBM356FAF3V0Z57EA5W16B8DF73913B73EF&programid=4200000574&playtoken=ABCDEFGH&auth=noC
CCTV-风云足球,http://stream.slave.jxtvnet.tv:14311/playurl?playtype=live&protocol=http&accesstoken=R61974758U30927004K7735947FI9BE73ABPBM356FAF3V0Z57EA5W16B8DF73913B73EF&programid=4200000576&playtoken=ABCDEFGH&auth=noC
CCTV-央视台球,http://stream.slave.jxtvnet.tv:14311/playurl?playtype=live&protocol=http&accesstoken=R61974758U30927004K7735947FI9BE73ABPBM356FAF3V0Z57EA5W16B8DF73913B73EF&programid=4200000596&playtoken=ABCDEFGH&auth=noC



卫视频道,#genre#
凤凰资讯,http://ott.js.chinamobile.com/TVOD/3/224/3221228098/index.m3u8
凤凰中文,http://ott.js.chinamobile.com/TVOD/3/224/3221228057/index.m3u8
凤凰香港,http://ott.js.chinamobile.com/TVOD/3/224/3221228060/index.m3u8
河北卫视,http://ott.js.chinamobile.com/TVOD/3/224/3221228106/index.m3u8
东方卫视,http://ott.js.chinamobile.com/TVOD/3/224/3221228150/index.m3u8
上海纪实,http://ott.js.chinamobile.com/TVOD/3/224/3221227674/index.m3u8
东南卫视,http://ott.js.chinamobile.com/TVOD/3/224/3221227553/index.m3u8
河南卫视,http://ott.js.chinamobile.com/TVOD/3/224/3221228221/index.m3u8
广东卫视,http://ott.js.chinamobile.com/TVOD/3/224/3221228230/index.m3u8
深圳卫视,http://ott.js.chinamobile.com/TVOD/3/224/3221228236/index.m3u8
重庆卫视,http://ott.js.chinamobile.com/TVOD/3/224/3221227729/index.m3u8
天津卫视,http://ott.js.chinamobile.com/TVOD/3/224/3221228239/index.m3u8
湖北卫视,http://ott.js.chinamobile.com/TVOD/3/224/3221228159/index.m3u8
辽宁卫视,http://ott.js.chinamobile.com/TVOD/3/224/3221228162/index.m3u8
安徽卫视,http://ott.js.chinamobile.com/TVOD/3/224/3221228153/index.m3u8
浙江卫视,http://ott.js.chinamobile.com/TVOD/3/224/3221228147/index.m3u8
北京卫视,http://ott.js.chinamobile.com/TVOD/3/224/3221228115/index.m3u8
北京纪实,http://ott.js.chinamobile.com/TVOD/3/224/3221227711/index.m3u8
江西卫视,http://ott.js.chinamobile.com/TVOD/3/224/3221228109/index.m3u8
江苏卫视,http://ott.js.chinamobile.com/TVOD/3/224/3221228097/index.m3u8
黑龙江卫视,http://ott.js.chinamobile.com/TVOD/3/224/3221228233/index.m3u8
甘肃卫视,http://39.134.39.39/PLTV/88888888/224/3221226240/index.m3u8
吉林卫视,http://111.40.196.36/PLTV/88888888/224/3221225589/index.m3u8
内蒙古卫视,http://111.40.196.39/PLTV/88888888/224/3221225574/index.m3u8
宁夏卫视,http://111.40.196.31/PLTV/88888888/224/3221225530/index.m3u8
青海卫视,http://111.40.196.27/PLTV/88888888/224/3221225568/index.m3u8
安多卫视,http://111.40.196.28/PLTV/88888888/224/3221225666/index.m3u8
陕西卫视,http://111.40.196.34/PLTV/88888888/224/3221225582/index.m3u8

厦门卫视,http://111.40.196.34/PLTV/88888888/224/3221225643/index.m3u8
广西卫视,http://111.40.196.35/PLTV/88888888/224/3221225518/index.m3u8
云南卫视,http://111.40.196.36/PLTV/88888888/224/3221225635/index.m3u8
贵州卫视,http://111.40.196.25/PLTV/88888888/224/3221225522/index.m3u8
四川卫视,http://111.40.196.34/PLTV/88888888/224/3221225562/index.m3u8
康巴卫视,http://111.40.196.38/PLTV/88888888/224/3221225648/index.m3u8

兵团卫视,http://111.40.196.31/PLTV/88888888/224/3221225637/index.m3u8
西藏卫视,http://111.40.196.36/PLTV/88888888/224/3221225646/index.m3u8
海南卫视,http://111.40.196.35/PLTV/88888888/224/3221225623/index.m3u8

海峡卫视,rtsp://183.252.176.54:554/PLTV/88888888/224/3221226128/10000100000000060000000002434539_0.smil


深圳卫视,http://tyzb8080.weetai.cn/iptv-cdn/公众号=太阳视界/tyzb13.php?id=szws


综合频道,#genre#

NewTV中国功夫,http://39.135.138.60:18890/PLTV/88888910/224/3221225660/index.m3u8
NewTV健康有约,http://39.135.138.60:18890/PLTV/88888910/224/3221225666/index.m3u8

NewTV军事评论,http://39.135.138.60:18890/PLTV/88888910/224/3221225757/index.m3u8
NewTV军事评论,http://39.134.66.66/PLTV/88888888/224/3221225535/index.m3u8
NewTV军旅剧场,http://39.134.66.66/PLTV/88888888/224/3221225560/index.m3u8
NewTV军旅剧场,http://39.135.138.58:18890/PLTV/88888888/224/3221225669/index.m3u8
NewTV军旅剧场,http://39.135.138.59:18890/PLTV/88888910/224/3221225669/index.m3u8
NewTV农业致富,http://39.134.66.66/PLTV/88888888/224/3221225552/index.m3u8
NewTV农业致富,http://39.135.138.58:18890/PLTV/88888888/224/3221225670/index.m3u8
NewTV农业致富,http://39.135.138.59:18890/PLTV/88888910/224/3221225670/index.m3u8
NewTV动作电影,http://39.135.138.58:18890/PLTV/88888888/224/3221225671/index.m3u8
NewTV动作电影,http://39.135.138.59:18890/PLTV/88888910/224/3221225671/index.m3u8

NewTV军旅剧场,http://39.135.138.60:18890/PLTV/88888910/224/3221225669/index.m3u8

NewTV农业致富,http://39.135.138.60:18890/PLTV/88888910/224/3221225670/index.m3u8

NewTV动作电影,http://223.110.243.162/ott.js.chinamobile.com/PLTV/3/224/3221227606/index.m3u8
NewTV动作电影,http://39.134.115.163:8080/PLTV/88888910/224/3221225671/index.m3u8
NewTV动画王国,http://223.110.245.161/ott.js.chinamobile.com/PLTV/3/224/3221225555/index.m3u8

NewTV古装剧场,http://223.110.243.165/ott.js.chinamobile.com/PLTV/3/224/3221227542/index.m3u8
NewTV古装剧场,http://39.135.138.60:18890/PLTV/88888910/224/3221225678/index.m3u8
NewTV古装剧场,http://39.134.66.66/PLTV/88888888/224/3221225524/index.m3u8
NewTV古装剧场,http://39.135.138.58:18890/PLTV/88888888/224/3221225678/index.m3u8
NewTV古装剧场,http://39.135.138.60:18890/PLTV/88888910/224/3221225678/index.m3u8

NewTV家庭剧场,http://223.110.243.164/ott.js.chinamobile.com/PLTV/3/224/3221227600/index.m3u8
NewTV家庭剧场,http://39.135.138.60:18890/PLTV/88888910/224/3221225713/index.m3u8
NewTV家庭剧场,http://39.134.66.66/PLTV/88888888/224/3221225538/index.m3u8

NewTV怡伴健康,http://39.134.66.66/PLTV/88888888/224/3221225571/index.m3u8
