台湾,#genre#
金光布袋戲,http://live.hodtv.tv/gttv.php?id=14080&cid=14240

民視戲劇台,http://live.hodtv.tv/gttv.php?id=13651&cid=13803

民視綜藝台,http://live.hodtv.tv/gttv.php?id=13653&cid=13805

民視旅遊台,http://live.hodtv.tv/gttv.php?id=13655&cid=13807

民視,http://live.hodtv.tv/gttv.php?id=13669&cid=13822

華視,http://live.hodtv.tv/gttv.php?id=13676&cid=13829

中視,http://live.hodtv.tv/gttv.php?id=13681&cid=13834

台視,http://live.hodtv.tv/gttv.php?id=14185&cid=14345

公視戲劇台,http://live.hodtv.tv/gttv.php?id=14159&cid=14319

民視台灣台,http://live.hodtv.tv/gttv.php?id=13671&cid=13824

民視第一台,http://live.hodtv.tv/gttv.php?id=13672&cid=13825

中視經典台,http://live.hodtv.tv/gttv.php?id=13683&cid=13836

中視菁采台,http://live.hodtv.tv/gttv.php?id=13684&cid=13837

亞洲旅遊台,http://live.hodtv.tv/gttv.php?id=11462&cid=11462

中天美食台,http://live.hodtv.tv/gttv.php?id=14193&cid=14353

中天綜合台,http://live.hodtv.tv/gttv.php?id=14187&cid=14347

八大綜合台,http://live.hodtv.tv/gttv.php?id=13660&cid=13812

八大精彩台,http://live.hodtv.tv/gttv.php?id=14213&cid=14373

愛爾達娛樂,http://live.hodtv.tv/gttv.php?id=13701&cid=13854

韓國娛樂台,http://live.hodtv.tv/gttv.php?id=13685&cid=13838

時尚娛樂台,http://live.hodtv.tv/gttv.php?id=13687&cid=13840

新唐人亞太,http://live.hodtv.tv/gttv.php?id=13984&cid=14137

魅力綜合台,http://live.hodtv.tv/gttv.php?id=14046&cid=14206

TVBS,http://live.hodtv.tv/gttv.php?id=15131&cid=15294

TVBS新聞,http://live.hodtv.tv/gttv.php?id=15132&cid=15295

TVBS歡樂,http://live.hodtv.tv/gttv.php?id=15133&cid=15296

TVBS精采,http://live.hodtv.tv/gttv.php?id=15134&cid=15297

東森新聞,http://live.hodtv.tv/gttv.php?id=13635&cid=13787

中天新聞,http://live.hodtv.tv/gttv.php?id=13679&cid=13832

中天全民,http://live.hodtv.tv/gttv.php?id=14192&cid=14352

寰宇新聞,http://live.hodtv.tv/gttv.php?id=14170&cid=14330
寰宇台灣,http://live.hodtv.tv/gttv.php?id=14172&cid=14332

三立iNEWS,http://live.hodtv.tv/gttv.php?id=11419&cid=11420

台視新聞,http://live.hodtv.tv/gttv.php?id=11417&cid=11408

民視新聞,http://live.hodtv.tv/gttv.php?id=13670&cid=13823

華視新聞,http://live.hodtv.tv/gttv.php?id=13677&cid=13830

非凡新聞,http://live.hodtv.tv/gttv.php?id=11327&cid=11345

亞洲新聞,http://live.hodtv.tv/gttv.php?id=14064&cid=14224

BBC國際新聞,http://live.hodtv.tv/gttv.php?id=13668&cid=13821

CNN國際新聞,http://live.hodtv.tv/gttv.php?id=13643&cid=13795

CNN頭條新聞,http://live.hodtv.tv/gttv.php?id=13644&cid=13796

CNBC,http://live.hodtv.tv/gttv.php?id=13693&cid=13846

CNEX DOC,http://live.hodtv.tv/gttv.php?id=13694&cid=13847

麥卡貝電視,http://live.hodtv.tv/gttv.php?id=11423&cid=11422

