央视,#genre#
CCTV1综合,rtsp://183.252.176.54:554/PLTV/88888888/224/3221226834/48356507.smil
CCTV2财经,rtsp://183.252.176.54:554/PLTV/88888888/224/3221226655/40417429.smil
CCTV3综艺,http://39.134.18.82/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226397/index.m3u8#http://39.134.66.66/TVOD/88888888/224/3221225799/index.m3u8
CCTV4中文国际,rtsp://183.252.176.54:554/PLTV/88888888/224/3221226633/40417241.smil
CCTV5体育,http://39.134.18.82/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226395/index.m3u8#http://39.134.66.66/TVOD/88888888/224/3221225818/index.m3u8
CCTV5体育赛事,rtsp://183.252.176.54:554/PLTV/88888888/224/3221226714/40417236.smil
CCTV6电影,http://39.134.18.82/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226393/index.m3u8#http://39.134.66.66/TVOD/88888888/224/3221225814/index.m3u8
CCTV7国防军事,rtsp://183.252.176.54:554/PLTV/88888888/224/3221226645/40426612.smil
CCTV8电视剧,http://39.134.18.82/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226391/index.m3u8#http://39.134.66.66/TVOD/88888888/224/3221225795/index.m3u8#http://teyonds.weetai.cn/cdn/iptv/tyzb01.php?id=CCTV8HD_7000
CCTV9记录,rtsp://183.252.176.54:554/PLTV/88888888/224/3221226637/40417257.smil
CCTV10科教,rtsp://183.252.176.54:554/PLTV/88888888/224/3221226718/40417274.smil
CCTV11戏曲,rtsp://183.252.176.54:554/PLTV/88888888/224/3221225996/10000100000000060000000002296743_0.smil
CCTV12社会与法,rtsp://183.252.176.54:554/PLTV/88888888/224/3221226659/40417266.smil
CCTV13新闻,rtsp://183.252.176.54:554/PLTV/88888888/224/3221226104/10000100000000060000000002298296_0.smil
CCTV14少儿,rtsp://183.252.176.54:554/PLTV/88888888/224/3221226641/40418077.smil
CCTV15音乐,rtsp://183.252.176.54:554/PLTV/88888888/224/3221225998/10000100000000060000000002296745_0.smil
