
🇨🇳央视超清,#genre#
CCTV1,http://39.134.3.73:6610/000000001666/100000000100111211/1.m3u8
CCTV1,http://39.134.71.75/ott.js.china ... 21228146/index.m3u8
CCTV1,http://116.128.128.197/liveplay- ... hd/4000000/mnf.m3u8
CCTV1,http://111.40.196.27/PLTV/88888888/224/3221225548/index.m3u8
CCTV1,http://223.110.230.17:6610/gitv/live1/G_CCTV-1-CQ/G_CCTV-1-CQ/
CCTV1,http://222.175.202.90:9901/tsfile/live/0001_1.m3u8
CCTV1,http://117.148.179.165/PLTV/88888888/224/3221231468/index.m3u8
CCTV1,http://live.aikan.miguvideo.com/ ... 21231468/index.m3u8
CCTV1,rtsp://183.252.166.199/PLTV/88888888/224/3221226834/48356507.smil
CCTV1,http://183.207.248.71:80/cntv/li ... D-8000k-1080P-cctv1
CCTV1,rtsp://183.252.166.199/PLTV/88888888/224/3221226834/48356507.smil
CCTV2,http://39.134.3.73:6610/000000001666/100000000100111001/1.m3u8
CCTV2,http://39.135.89.100:6610/yinhe/ ... he.live_hls.zte.com
CCTV2,http://39.134.18.82/dbiptv.sn.ch ... 21226195/index.m3u8
CCTV2,http://ott.js.chinamobile.com/PLTV/3/224/3221227708/index.m3u8
CCTV2,rtsp://183.252.176.54:554/PLTV/8 ... 26655/40417429.smil
CCTV3,http://39.135.138.59:18890/PLTV/88888910/224/3221225634/index.m3u8
CCTV-3,http://39.134.19.64/dbiptv.sn.ch ... 21226009/index.m3u8
CCTV-3,http://111.63.117.13:6060/030000001000/CCTV-3/CCTV-3.m3u8
CCTV4,http://39.134.3.73:6610/000000001666/100000000100111003/1.m3u8
CCTV4美洲,http://cctvalih5ca.v.myalicdn.com/live/cctvamerica_2/index.m3u8
CCTV4欧洲,http://cctvalih5ca.v.myalicdn.com/live/cctveurope_2/index.m3u8
CCTV-4,http://39.130.202.76:6610/gitv_live/G_CCTV-4-HD/G_CCTV-4-HD.m3u8
CCTV-4,http://39.134.115.163:8080/PLTV/ ... 21225621/index.m3u8
CCTV-4,http://39.134.18.82/dbiptv.sn.ch ... 21226191/index.m3u8
CCTV5,http://39.134.116.30:8080/PLTV/88888910/224/3221225633/index.m3u8
CCTV5,http://111.63.117.13:6060/030000001000/CCTV-5/CCTV-5.m3u8
CCTV5,http://39.134.115.163:8080/PLTV/ ... 21225633/index.m3u8
CCTV5+,http://111.63.117.13:6060/030000 ... S/G_CCTV-5PLUS.m3u8
CCTV5+,http://39.134.3.73:6610/000000001666/100000000100111005/1.m3u8
CCTV6,http://39.135.138.59:18890/PLTV/88888910/224/3221225632/index.m3u8
CCTV6,http://223.110.242.156:6610/jsyd/live1/G_CCTV-6-MD/G_CCTV-6-MD/
CCTV6,http://117.148.179.165/PLTV/88888888/224/3221231724/index.m3u8
CCTV6,http://live.aikan.miguvideo.com/ ... 21231724/index.m3u8
CCTV7,http://39.134.3.73:6610/000000001666/100000000100111007/1.m3u8
CCTV8,http://39.135.138.60:18890/PLTV/88888910/224/3221225635/index.m3u8
CCTV8,http://coocaa-ynbit-ws.ifengli.com:2386/live/cctv-8hd/1.m3u8
CCTV8,http://223.110.244.212:6610/gitv/live1/G_CCTV-8-CQ/G_CCTV-8-CQ/
CCTV9,http://39.134.3.73:6610/000000001666/100000000100111009/1.m3u8
CCTV10,http://39.134.3.73:6610/000000001666/100000000100111010/1.m3u8
CCTV10,http://117.148.179.165/PLTV/88888888/224/3221232492/index.m3u8
CCTV10,http://live.aikan.miguvideo.com/ ... 21231666/index.m3u8
CCTV10,rtsp://183.252.166.199/PLTV/88888888/224/3221226718/40417274.smil
CCTV11,http://39.134.3.73:6610/000000001666/100000000100111011/1.m3u8
CCTV12,http://39.134.3.73:6610/000000001666/100000000100111012/1.m3u8
CCTV13,http://39.134.3.73:6610/000000001666/100000000100111013/1.m3u8
